indice,Colombia,China,United States,Japon,Germany
count,31.0,31.0,31.0,31.0,31.0
promedio,55.243129032258075,3176.1457419354833,3873.9517096774202,1011.2459677419354,592.1962903225806
std,13.12231382986485,2290.2913832744657,289.8025619178447,56.88656356263395,39.866652735666634
min,36.613,621.2,3232.78,881.5,527.118
percentil25,45.309,1151.275,3726.5105,990.3209999999999,554.485
50%,50.283,2421.429,3970.555,1014.289,603.9
75%,65.1955,5179.33,4093.6135,1045.5465,629.8499999999999
max,78.252,7623.696,4203.937,1111.465,647.9
varianza,172.19512024946235,5245434.620301265,83985.52489414619,3236.0811139655925,1589.3500003462357
